Wavelength,Counts
251.16,0
254.48,0
254.95,0
255.43,0
255.9,0
256.38,0
256.85,0
257.33,0
257.8,0
258.27,0
258.75,0
259.22,0
259.7,0
260.17,0
260.65,0
261.12,0
261.59,0
262.07,0
262.54,0
263.02,0
263.49,0
263.97,0
264.44,0
264.91,0
265.39,0
265.86,0
266.34,0
266.81,0
267.28,0
267.76,0
268.23,0
268.71,0
269.18,0
269.65,0
270.13,0
270.6,0
271.08,0
271.55,0
272.02,0
272.5,0
272.97,0
273.44,0
273.92,0
274.39,0
274.87,0
275.34,0
275.81,0
276.29,0
276.76,0
277.23,0
277.71,0
278.18,0
278.65,0
279.13,0
279.6,0
280.07,0
280.55,0
281.02,0
281.5,0
281.97,0
282.44,0
282.91,0
283.39,0
283.86,0
284.33,0
284.81,0
285.28,0
285.75,0
286.23,0
286.7,0
287.17,0
287.65,0
288.12,0
288.59,0
289.07,0
289.54,0
290.01,0
290.48,0
290.96,0
291.43,0
291.9,0
292.38,0
292.85,0
293.32,0
293.79,0
294.27,0
294.74,0
295.21,0
295.69,0
296.16,0
296.63,0
297.1,0
297.58,0
298.05,0
298.52,0
298.99,0
299.47,0
299.94,0
300.41,0
300.88,0
301.36,0
301.83,0
302.3,0
302.77,0
303.25,0
303.72,0
304.19,0
304.66,0
305.13,0
305.61,0
306.08,0
306.55,0
307.02,0
307.49,0
307.97,0
308.44,0
308.91,0
309.38,0
309.86,0
310.33,0
310.8,0
311.74,0
312.69,0.001181688
313.16,0.00145544
313.63,0.000961313
314.57,-6.52E-05
315.52,-9.08E-05
315.99,-0.00013398
319.29,-5.32E-05
322.12,0.000377401
323.06,0.000108905
325.89,-3.50E-05
326.83,1.35E-05
330.6,0.000170068
334.37,0.001643011
334.84,0.001872147
335.31,0.000908304
335.78,0.000580086
336.25,0.000585164
338.13,0.000700533
341.9,0.00111564
345.66,0.001545374
349.42,0.001894643
353.18,0.002231741
356.94,0.002498748
360.69,0.003494445
362.57,0.006450015
363.04,0.011205756
363.51,0.019170719
364.45,0.041690509
364.92,0.08541445
365.39,0.122939281
365.86,0.075967448
366.32,0.03853884
366.79,0.026801004
367.26,0.01577211
368.2,0.003616093
368.67,0.003110928
369.14,0.002798436
370.08,0.002477233
371.48,0.002215746
371.95,0.002217478
373.83,0.002026366
375.7,0.002095262
379.45,0.00282634
380.39,0.00295967
383.2,0.001999187
386.94,0.001366608
390.69,0.001340794
394.43,0.000890972
394.9,0.000861877
398.17,0.00106854
401.91,0.003243298
402.38,0.006504437
402.84,0.017607323
403.31,0.042031735
403.78,0.065155891
404.25,0.086778517
404.71,0.157144524
405.18,0.15745996
405.65,0.04092954
406.12,0.011612838
406.58,0.008834076
407.05,0.009371022
407.52,0.011356585
407.98,0.01825173
408.45,0.012323473
408.92,0.003469448
409.38,0.001869508
409.85,0.001513629
410.32,0.001478217
411.25,0.001543052
413.12,0.001473354
415.92,0.001550249
416.85,0.001434736
420.58,0.000941188
423.85,0.000651024
424.31,0.000664389
428.04,0.00086565
431.77,0.002306311
432.7,0.004229807
433.16,0.006808406
433.63,0.013204508
434.09,0.035219396
434.56,0.099307091
435.03,0.189135004
435.49,0.243043214
435.96,0.366840013
436.42,0.323300067
436.89,0.077654732
437.35,0.020496335
437.82,0.009374249
438.28,0.005649103
438.75,0.004024367
439.21,0.003085719
440.14,0.002044974
441.07,0.001442348
442.94,0.000920134
446.65,0.000544781
449.44,0.000409229
450.37,0.000419649
453.16,0.000434694
454.09,0.000358799
457.8,0.00034293
460.59,0.000298049
461.52,0.000307741
465.23,0.000873523
467.55,0.00131342
468.94,0.000504449
469.4,0.000476778
472.65,0.00098112
476.35,0.00110485
480.06,0.004178807
480.98,0.006539906
481.91,0.010613412
482.37,0.013541016
482.84,0.017393243
483.3,0.021751395
483.76,0.026604211
484.69,0.037404034
485.15,0.043383258
485.61,0.049891739
486.07,0.055849049
486.54,0.059323104
487,0.060070066
487.46,0.058849029
487.92,0.056302235
488.39,0.052882539
488.85,0.049044469
489.31,0.045190398
489.77,0.042158105
490.24,0.039822453
490.7,0.038530173
491.16,0.03767896
492.55,0.032724037
493.01,0.030569894
493.94,0.026985371
494.86,0.024100942
498.56,0.014094025
502.25,0.006308574
505.94,0.002702304
509.63,0.001893276
513.32,0.001241565
517.01,0.000935017
520.7,0.000661218
522.08,0.000585799
524.38,0.000704813
528.06,0.001660812
531.74,0.003327122
532.2,0.004727798
532.66,0.007306574
533.12,0.01059869
533.58,0.012298433
534.04,0.011446068
534.5,0.009493939
534.96,0.009195508
535.42,0.010401936
535.88,0.012587646
536.34,0.016043283
536.8,0.020821545
537.26,0.02869275
537.72,0.037047307
538.18,0.043867628
538.64,0.049619939
539.1,0.058876288
539.56,0.07665437
540.02,0.105342574
540.48,0.145120013
540.94,0.202774443
541.4,0.270287132
541.86,0.306939359
542.32,0.287246758
542.78,0.246666176
543.24,0.222695608
543.69,0.217846656
544.15,0.22142497
544.61,0.227118462
545.07,0.252282945
545.53,0.366002751
545.99,0.518589078
546.45,0.502319046
546.91,0.321211862
547.37,0.214583037
547.83,0.18240984
548.29,0.160753064
548.74,0.142277993
549.2,0.124671312
549.66,0.109568817
550.12,0.096651396
550.58,0.08477341
551.04,0.073395345
551.5,0.063586968
551.96,0.0566932
552.87,0.043864909
553.33,0.038587588
553.79,0.034055912
555.17,0.02104534
555.63,0.01809525
556.08,0.015836895
556.54,0.014056435
557.46,0.011500644
559.29,0.008117548
561.13,0.006581588
564.79,0.004905764
568.45,0.004434044
571.66,0.00271961
572.11,0.002751657
575.77,0.008634131
576.23,0.019693672
576.69,0.05846498
577.15,0.085267797
577.6,0.057540864
578.52,0.038093093
578.97,0.076610669
579.43,0.081980111
579.89,0.056036933
580.34,0.055381149
580.8,0.053344111
581.26,0.042135464
581.72,0.041590727
582.17,0.048880605
583.09,0.060417032
583.54,0.061858064
584,0.061377648
584.46,0.059214239
