Spectrum,Wavelength (nm),Intensity
CFL_Reference_15W_2700K_spectrum.csv,313.16,0.001589
CFL_Reference_15W_2700K_spectrum.csv,322.12,0.000511
CFL_Reference_15W_2700K_spectrum.csv,334.84,0.002006
CFL_Reference_15W_2700K_spectrum.csv,365.39,0.123057
CFL_Reference_15W_2700K_spectrum.csv,371.95,0.002351
CFL_Reference_15W_2700K_spectrum.csv,380.39,0.003093
CFL_Reference_15W_2700K_spectrum.csv,405.18,0.157573
CFL_Reference_15W_2700K_spectrum.csv,407.98,0.018383
CFL_Reference_15W_2700K_spectrum.csv,411.25,0.001677
CFL_Reference_15W_2700K_spectrum.csv,415.92,0.001684
CFL_Reference_15W_2700K_spectrum.csv,435.96,0.366925
CFL_Reference_15W_2700K_spectrum.csv,453.16,0.000569
CFL_Reference_15W_2700K_spectrum.csv,467.55,0.001447
CFL_Reference_15W_2700K_spectrum.csv,487.00,0.060196
CFL_Reference_15W_2700K_spectrum.csv,533.58,0.012431
CFL_Reference_15W_2700K_spectrum.csv,541.86,0.307032
CFL_Reference_15W_2700K_spectrum.csv,545.99,0.518654
CFL_Reference_15W_2700K_spectrum.csv,577.15,0.085390
CFL_Reference_15W_2700K_spectrum.csv,579.43,0.082103
CFL_Reference_15W_2700K_spectrum.csv,583.54,0.061984
CFL_Reference_15W_2700K_spectrum.csv,587.65,0.115498
CFL_Reference_15W_2700K_spectrum.csv,593.13,0.096699
CFL_Reference_15W_2700K_spectrum.csv,599.97,0.063168
CFL_Reference_15W_2700K_spectrum.csv,611.35,1.000000
CFL_Reference_15W_2700K_spectrum.csv,621.36,0.053796
CFL_Reference_15W_2700K_spectrum.csv,626.35,0.068305
CFL_Reference_15W_2700K_spectrum.csv,631.35,0.135318
CFL_Reference_15W_2700K_spectrum.csv,644.95,0.010129
CFL_Reference_15W_2700K_spectrum.csv,650.83,0.041653
CFL_Reference_15W_2700K_spectrum.csv,653.55,0.020125
CFL_Reference_15W_2700K_spectrum.csv,658.07,0.013621
CFL_Reference_15W_2700K_spectrum.csv,662.59,0.026681
CFL_Reference_15W_2700K_spectrum.csv,681.08,0.007086
CFL_Reference_15W_2700K_spectrum.csv,687.83,0.025476
CFL_Reference_15W_2700K_spectrum.csv,690.98,0.006422
CFL_Reference_15W_2700K_spectrum.csv,694.13,0.020763
CFL_Reference_15W_2700K_spectrum.csv,696.83,0.012981
CFL_Reference_15W_2700K_spectrum.csv,707.15,0.064448
CFL_Reference_15W_2700K_spectrum.csv,709.40,0.076120
CFL_Reference_15W_2700K_spectrum.csv,712.53,0.061194
CFL_Reference_15W_2700K_spectrum.csv,727.31,0.003754
CFL_Reference_15W_2700K_spectrum.csv,738.48,0.014455
CFL_Reference_15W_2700K_spectrum.csv,742.94,0.003243
CFL_Reference_15W_2700K_spectrum.csv,747.40,0.001725
CFL_Reference_15W_2700K_spectrum.csv,750.52,0.014032
CFL_Reference_15W_2700K_spectrum.csv,751.42,0.016102
CFL_Reference_15W_2700K_spectrum.csv,763.88,0.055418
CFL_Reference_15W_2700K_spectrum.csv,772.76,0.019566
CFL_Reference_15W_2700K_spectrum.csv,784.74,0.000320
CFL_Reference_15W_2700K_spectrum.csv,794.92,0.018342
