Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,86.96,4.86,140.24,82.1,0.232529,0.232529
341,145.8,87.26,5,140.8,82.26,0.233414,0.233414
341.5,146.14,87.5,4.86,141.28,82.64,0.23289,0.23289
342,146.72,87.78,4.9,141.82,82.88,0.233288,0.233288
342.6,146.44,87.08,4.54,141.9,82.54,0.235318,0.235318
343.1,147.3,87.7,4.7,142.6,83,0.235041,0.235041
343.6,147.52,87.68,4.7,142.82,82.98,0.235816,0.235816
344.2,147.64,87.88,4.76,142.88,83.12,0.235266,0.235266
344.7,147.78,87.76,4.16,143.62,83.6,0.235009,0.235009
345.2,148.76,88.76,4.56,144.2,84.2,0.233653,0.233653
345.7,149.54,89.08,4.74,144.8,84.34,0.234735,0.234735
346.3,149.46,89.12,4.82,144.64,84.3,0.234461,0.234461
346.8,149.28,88.54,4.4,144.88,84.14,0.236006,0.236006
347.3,149.82,89.18,4.64,145.18,84.54,0.234845,0.234845
347.8,150.62,89.74,4.9,145.72,84.84,0.234919,0.234919
348.4,150.76,89.46,4.9,145.86,84.56,0.236771,0.236771
348.9,150.88,88.98,4.68,146.2,84.3,0.23912,0.23912
349.4,151.74,90.04,4.86,146.88,85.18,0.236625,0.236625
350,152.26,90.68,4.98,147.28,85.7,0.235163,0.235163
350.5,152.78,90.8,5.14,147.64,85.66,0.236426,0.236426
351,152.62,90.52,4.76,147.86,85.76,0.236566,0.236566
351.5,153.38,90.78,4.9,148.48,85.88,0.237776,0.237776
352.1,153.98,90.78,5.1,148.88,85.68,0.239957,0.239957
352.6,153.86,90.54,5,148.86,85.54,0.240609,0.240609
353.1,154.14,90.4,4.66,149.48,85.74,0.2414,0.2414
353.6,154.88,90.9,4.82,150.06,86.08,0.241363,0.241363
354.2,154.8,91.16,4.7,150.1,86.46,0.239565,0.239565
354.7,154.9,91.08,4.56,150.34,86.52,0.239958,0.239958
355.2,154.58,90.68,4.04,150.54,86.64,0.239933,0.239933
355.7,155.64,91.58,4.48,151.16,87.1,0.239419,0.239419
356.3,156.02,91.8,4.68,151.34,87.12,0.239836,0.239836
356.8,155.92,91.62,4.66,151.26,86.96,0.240405,0.240405
357.3,155.7,91.28,4.32,151.38,86.96,0.240749,0.240749
357.9,156.72,91.84,4.62,152.1,87.22,0.241513,0.241513
358.4,156.88,92.18,4.66,152.22,87.52,0.240364,0.240364
358.9,156.76,92.14,4.62,152.14,87.52,0.240136,0.240136
359.4,156.36,91.66,4.28,152.08,87.38,0.24066,0.24066
360,157.16,92.06,4.46,152.7,87.6,0.241335,0.241335
360.5,157.42,92.48,4.42,153,88.06,0.239913,0.239913
361,157.72,92.28,4.5,153.22,87.78,0.24192,0.24192
361.5,157.52,91.62,4.16,153.36,87.46,0.243903,0.243903
362.1,158.06,92.18,4.42,153.64,87.76,0.243208,0.243208
362.6,158.08,92.8,4.42,153.66,88.38,0.240207,0.240207
363.1,158.18,92.78,4.56,153.62,88.22,0.240881,0.240881
363.7,158,92.2,4.18,153.82,88.02,0.242431,0.242431
364.2,158.48,92.44,4.42,154.06,88.02,0.243109,0.243109
364.7,158.36,92.6,4.38,153.98,88.22,0.241897,0.241897
365.2,158.34,92.26,4.44,153.9,87.82,0.243645,0.243645
365.8,158.42,91.6,4,154.42,87.6,0.246199,0.246199
366.3,159.32,92.36,4.36,154.96,88,0.245737,0.245737
366.8,159.42,92.08,4.28,155.14,87.8,0.247229,0.247229
367.3,159.04,91.72,4.58,154.46,87.14,0.248598,0.248598
367.9,158.72,90.92,4.2,154.52,86.72,0.250865,0.250865
368.4,159.44,91.58,4.3,155.14,87.28,0.249809,0.249809
368.9,159.82,91.56,4.5,155.32,87.06,0.251409,0.251409
369.5,159.54,91.44,4.7,154.84,86.74,0.251664,0.251664
370,159.12,91.12,4.44,154.68,86.68,0.251515,0.251515
370.5,159.92,91.46,4.58,155.34,86.88,0.252363,0.252363
371,159.78,91.18,4.64,155.14,86.54,0.253507,0.253507
371.6,159.5,90.9,4.56,154.94,86.34,0.253952,0.253952
372.1,159.28,90.54,4.32,154.96,86.22,0.254612,0.254612
372.6,159.84,90.14,4.44,155.4,85.7,0.25847,0.25847
