Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,82.08,4.86,140.24,77.22,0.259142,0.259142
341,145.8,82.26,5,140.8,77.26,0.260648,0.260648
341.5,146.14,82.34,4.86,141.28,77.48,0.260891,0.260891
342,146.72,82.28,4.9,141.82,77.38,0.263109,0.263109
342.6,146.44,81.76,4.54,141.9,77.22,0.264253,0.264253
343.1,147.3,82.32,4.7,142.6,77.62,0.264146,0.264146
343.6,147.52,82.38,4.7,142.82,77.68,0.26448,0.26448
344.2,147.64,82.56,4.76,142.88,77.8,0.263992,0.263992
344.7,147.78,81.74,4.16,143.62,77.58,0.267465,0.267465
345.2,148.76,82.3,4.56,144.2,77.74,0.268321,0.268321
345.7,149.54,82.78,4.74,144.8,78.04,0.268451,0.268451
346.3,149.46,82.78,4.82,144.64,77.96,0.268417,0.268417
346.8,149.28,82.6,4.4,144.88,78.2,0.267802,0.267802
347.3,149.82,83.12,4.64,145.18,78.48,0.267148,0.267148
347.8,150.62,83.64,4.9,145.72,78.74,0.267324,0.267324
348.4,150.76,83.6,4.9,145.86,78.7,0.267961,0.267961
348.9,150.88,83.54,4.68,146.2,78.86,0.268091,0.268091
349.4,151.74,84.08,4.86,146.88,79.22,0.268128,0.268128
350,152.26,84.18,4.98,147.28,79.2,0.269419,0.269419
350.5,152.78,84.38,5.14,147.64,79.24,0.27026,0.27026
351,152.62,83.86,4.76,147.86,79.1,0.271674,0.271674
351.5,153.38,84.5,4.9,148.48,79.6,0.270755,0.270755
352.1,153.98,84.82,5.1,148.88,79.72,0.271269,0.271269
352.6,153.86,85.06,5,148.86,80.06,0.269362,0.269362
353.1,154.14,84.6,4.66,149.48,79.94,0.271819,0.271819
353.6,154.88,84.96,4.82,150.06,80.14,0.272416,0.272416
354.2,154.8,85.24,4.7,150.1,80.54,0.270369,0.270369
354.7,154.9,85.16,4.56,150.34,80.6,0.27074,0.27074
355.2,154.58,84.52,4.04,150.54,80.48,0.271964,0.271964
355.7,155.64,85.28,4.48,151.16,80.8,0.272026,0.272026
356.3,156.02,85.78,4.68,151.34,81.1,0.270933,0.270933
356.8,155.92,85.46,4.66,151.26,80.8,0.272313,0.272313
357.3,155.7,84.72,4.32,151.38,80.4,0.274812,0.274812
357.9,156.72,85.16,4.62,152.1,80.54,0.276118,0.276118
358.4,156.88,85.42,4.66,152.22,80.76,0.275275,0.275275
358.9,156.76,85.36,4.62,152.14,80.74,0.275155,0.275155
359.4,156.36,84.62,4.28,152.08,80.34,0.27714,0.27714
360,157.16,84.86,4.46,152.7,80.4,0.278583,0.278583
360.5,157.42,85.08,4.42,153,80.66,0.278033,0.278033
361,157.72,85.26,4.5,153.22,80.76,0.278119,0.278119
361.5,157.52,84.9,4.16,153.36,80.74,0.278623,0.278623
362.1,158.06,85.4,4.42,153.64,80.98,0.278127,0.278127
362.6,158.08,85.42,4.42,153.66,81,0.278076,0.278076
363.1,158.18,85.56,4.56,153.62,81,0.277963,0.277963
363.7,158,84.92,4.18,153.82,80.74,0.279924,0.279924
364.2,158.48,85.18,4.42,154.06,80.76,0.280494,0.280494
364.7,158.36,85.04,4.38,153.98,80.66,0.280806,0.280806
365.2,158.34,85.02,4.44,153.9,80.58,0.281011,0.281011
365.8,158.42,84.48,4,154.42,80.48,0.283016,0.283016
366.3,159.32,85.04,4.36,154.96,80.68,0.283454,0.283454
366.8,159.42,84.82,4.28,155.14,80.54,0.284712,0.284712
367.3,159.04,84.66,4.58,154.46,80.08,0.285292,0.285292
367.9,158.72,83.9,4.2,154.52,79.7,0.287526,0.287526
368.4,159.44,84.26,4.3,155.14,79.96,0.287851,0.287851
