Wavelength,Intensity
300.00,0.54
300.00,0.39
300.00,0.26
300.00,0.27
300.00,0.28
300.00,0.37
300.00,0.40
300.00,0.58
300.00,0.59
300.00,0.48
300.00,0.34
300.00,0.44
300.00,0.40
300.00,0.45
300.00,0.48
300.00,0.56
300.00,0.43
300.00,0.34
300.00,0.22
300.00,0.29
300.00,0.41
300.00,0.43
300.00,0.32
300.00,0.30
300.00,0.43
300.00,0.52
300.00,0.55
300.00,0.55
300.00,0.57
300.00,0.41
300.00,0.48
300.00,0.61
300.00,0.44
300.00,0.40
300.00,0.37
300.00,0.25
300.00,0.31
300.00,0.34
300.00,0.46
300.00,0.47
300.00,0.32
300.00,0.24
300.00,0.24
300.00,0.20
300.00,0.29
300.00,0.39
300.00,0.43
300.00,0.36
300.00,0.30
300.00,0.27
300.00,0.24
300.00,0.34
300.00,0.49
300.00,0.44
300.00,0.41
300.00,0.48
300.00,0.57
300.00,0.48
300.00,0.33
300.00,0.40
300.00,0.48
300.00,0.40
300.00,0.35
300.00,0.14
300.00,0.06
300.00,0.10
300.00,0.24
300.00,0.26
300.00,0.24
300.00,0.21
300.00,0.16
300.00,0.19
300.00,0.25
300.00,0.19
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.00,0.00
300.02,0.00
300.62,0.00
301.21,0.00
301.81,0.00
302.40,0.00
302.99,0.00
303.58,0.00
304.17,0.00
304.75,0.00
305.34,0.00
305.93,0.00
306.51,0.00
307.10,0.00
307.68,0.00
308.26,0.00
308.84,0.00
309.42,0.00
310.00,0.00
310.58,0.00
311.15,0.00
311.73,0.00
312.30,0.00
312.88,0.00
313.45,0.04
314.02,0.26
314.59,0.33
315.16,0.31
315.73,0.17
316.30,0.14
316.87,0.26
317.43,0.45
318.00,0.42
318.56,0.27
319.13,0.16
319.69,0.13
320.25,0.03
320.81,0.03
321.38,0.04
321.93,0.00
322.49,0.00
323.05,0.00
323.61,0.00
324.17,0.00
324.72,0.00
325.28,0.00
325.83,0.00
326.39,0.00
326.94,0.00
327.49,0.00
328.04,0.00
328.59,0.00
329.14,0.00
329.69,0.06
330.24,0.16
330.79,0.15
331.34,0.04
331.88,0.03
332.43,0.00
332.97,0.09
333.52,0.09
334.06,0.00
334.61,0.00
335.15,0.00
335.69,0.00
336.23,0.00
336.77,0.00
337.31,0.03
337.85,0.05
338.39,0.03
338.93,0.04
339.47,0.30
340.01,0.16
340.54,0.15
341.08,0.08
341.62,0.00
342.15,0.03
342.69,0.02
343.22,0.07
343.76,0.13
344.29,0.10
344.82,0.12
345.35,0.18
345.89,0.27
346.42,0.37
346.95,0.40
347.48,0.35
348.01,0.36
348.54,0.50
349.07,0.68
349.60,0.96
350.12,0.90
350.65,0.84
351.18,0.61
351.71,0.51
352.23,0.50
352.76,0.61
353.28,0.63
353.81,1.01
354.34,0.88
354.86,1.09
355.38,1.31
355.91,1.65
356.43,2.03
356.95,2.44
357.48,2.89
358.00,3.23
358.52,4.14
359.04,5.39
359.56,6.48
360.09,7.52
360.61,8.69
361.13,9.70
361.65,10.30
362.17,10.84
362.69,11.88
363.21,12.74
363.72,13.16
364.24,13.81
364.76,14.06
365.28,13.82
365.80,13.54
366.32,11.29
366.83,8.60
367.35,5.89
367.87,3.97
368.38,3.10
368.90,2.83
369.42,2.73
369.93,2.58
370.45,1.84
370.96,1.54
371.48,1.61
371.99,1.57
372.51,1.57
373.02,1.50
373.54,1.62
374.05,1.77
374.56,1.94
375.08,1.72
375.59,1.98
376.11,1.86
376.62,1.89
377.13,1.92
377.65,1.98
378.16,2.23
378.67,2.51
379.18,2.59
379.70,2.68
380.21,2.73
380.72,2.66
381.23,2.56
381.74,2.55
382.26,2.67
382.77,2.62
383.28,2.26
383.79,2.18
384.30,2.09
384.81,2.08
385.32,2.14
385.83,2.26
386.35,2.35
386.86,2.07
387.37,1.97
387.88,2.07
388.39,2.25
388.90,2.24
389.41,2.03
389.92,1.87
390.43,1.87
390.94,1.90
391.45,1.73
391.96,1.55
392.47,1.31
392.98,1.24
393.49,1.17
394.00,1.15
394.51,1.12
395.02,1.07
395.53,0.92
396.04,1.11
396.55,1.13
397.06,1.28
397.57,1.45
398.08,1.68
398.59,1.89
399.09,1.86
399.60,1.97
400.11,3.01
400.62,4.05
401.13,4.10
401.64,4.04
402.15,6.37
402.66,10.48
403.17,19.08
403.68,27.19
404.19,36.16
404.70,50.71
405.21,87.83
405.72,105.84
406.23,43.21
406.74,3.10
